id	name	arcana	level	description	image	strength	magic	endurance	agility	luck	weak	resists	reflects	absorbs	nullifies	dlc	query
201	Horus	Sun	67	An ancient god of Egypt whose eyes are the sun and moon. Revered by some as the chief god, he is often depicted as a hawk or a falcon.	https://megatenwiki.com/images/d/d4/P5X_Horus_Artwork.png	42	53	34	48	40	Dark	Ice	Light		Electric	0	horus
202	Vishnu	Sun	78	One of the major Hindu gods, he is the preserver and protector of the universe. Legends claim that he will make ten appearances across time and space to strike down evil and uphold justice.	https://megatenwiki.com/images/3/3a/P5X_Vishnu_Artwork.png	65	55	50	53	42	Dark			Light	Ice,Electric	0	vishnu
203	Asura	Sun	85	The Hindu king of Asuras is named Maha Vairocana, or ''One Who Shines On All.'' In Buddhism, he is known as Dainichi Nyorai.	https://megatenwiki.com/images/0/05/SMT1_Asura_Artwork.png	75	55	58	50	54	Wind			Fire	Strike,Light	0	asura
204	Anubis	Judgement	40	The jackal-headed god of Egyptian myth. He weighs the hearts of the dead to determine their final destination. He is also associated with embalming. 	https://megatenwiki.com/images/3/35/P5X_Anubis_Artwork.png	27	35	30	21	26					Light,Dark	0	anubis
205	Trumpeter	Judgement	59	Angels said to sound the trumpets at the apocalypse. Each trumpet brings more plagues and disasters, turning the earth into a land of death and suffering.	https://megatenwiki.com/images/1/1e/P5X_Trumpeter_Artwork.png	44	44	37	35	33	Wind		Light		Ice,Dark	0	trumpeter
206	Michael	Judgement	70	One of the four major archangels, he is at the top of the angelic hierarchy. He carries a long spear that can cut through anything, and his name means ''one who is like God.''	https://megatenwiki.com/images/e/e4/P5X_Michael_Artwork.png	56	48	46	37	42	Wind	Slash,Pierce,Dark	Light			0	michael
207	Satan	Judgement	82	The prince of darkness in Judeo-Christian lore, known for his role as the snake that tempted Adam and Eve at Eden. It is also said he is sent by God to test man's piety.	https://megatenwiki.com/images/b/bb/SMT2_SFC_Satan_Artwork.png	55	68	52	43	53	Wind	Fire	Ice	Dark		0	satan
208	Lucifer	Judgement	89	A fallen angel and the lord of demons in Judeo-Christian lore. His pride led him to revolt against God, taking a third of the heavenly host with him. He now waits for a second chance to challenge God.	https://megatenwiki.com/images/f/fc/SMT2_Lucifer_Enemy_Artwork.png	70	70	61	51	55			Dark	Fire,Electric		0	lucifer
209	Messiah	Judgement	91	Appears before Judgment Day to save the virtuous. He is a universal figure, appearing in myth around the world. Many stories involve his death and rebirth.	https://megatenwiki.com/images/1/1a/P3_Messiah_Artwork.png	65	70	62	59	59		Fire,Ice,Electric,Wind	Light,Dark			0	messiah
210	Nidhoggr	Aeon	47	An evil dragon that gnaws on the roots of Yggdrasil, the World Tree. It rules over the evil snakes that live there. Capable of surviving Ragnarok by feeding on the slain corpses that drift to it.	https://megatenwiki.com/images/4/45/P3_Nidhoggr_Artwork.png	36	29	43	21	28	Wind,Light	Pierce,Dark			Ice,Electric	0	nidhoggr
211	Uriel	Aeon	57	One of the four major archangels. His name means ''Flame of God,'' and he knows all the celestial phenomena. He is the first angel Satan met on earth. 	https://megatenwiki.com/images/5/56/SMT2_Uriel_Artwork.png	47	42	35	36	30	Ice,Dark	Slash		Fire	Electric,Light	0	uriel
212	Ananta	Aeon	73	The thousand-headed serpent of Hindu myth. Ananta is Sanskrit for ''infinite.'' After resting on him, Vishnu woke up and created the universe. 	https://megatenwiki.com/images/8/89/DeSum_Ananta_Artwork.png	51	51	68	35	42	Slash,Electric	Pierce		Ice	Light	0	ananta
213	Metatron	Aeon	87	The greatest angel in Judeo-Christian legend. He is known as the Voice of God or the Angel of Contracts. Despite his duty to maintain the world's order, he shows no mercy towards humanity.	https://megatenwiki.com/images/2/26/DeSum_Metatron_Artwork.png	60	65	65	55	53	Electric,Dark	Ice	Fire,Wind,Light			0	metatron
